Название,Цена,Изображение
 Acana Treat Free Run Duck 35 gr - 1 Unidad.,4.37 €/u,https://www.petsonic.com/13837-large_default/treat-free-run-duck-35-gr.jpg
 Acana Treat Grass-Fed Lamb 35 gr - 1 Unidad.,4.37 €/u,https://www.petsonic.com/13838-large_default/treat-grass-fed-lamb-35-gr.jpg
 Acana Treat Yorkshire Pork 35 gr - 1 Unidad.,4.37 €/u,https://www.petsonic.com/13840-large_default/treat-yorkshire-pork-35-gr.jpg
 Orijen Treat Free Run Duck 42.5 Gr - 1 Unidad.,6.13 €/u,https://www.petsonic.com/19383-large_default/orijen-treat-free-run-duck-42-5-gr-para-perros.jpg
 Orijen Treat Free Run Duck 42.5 Gr - 6 Unidades.,34.99 €/u,https://www.petsonic.com/19383-large_default/orijen-treat-free-run-duck-42-5-gr-para-perros.jpg
 Orijen Regional Treats 42.5 gr - 1 Unidad.,5.24 €/u,https://www.petsonic.com/13414-large_default/regional-treats-42-5-gr.jpg
 Orijen Regional Treats 42.5 gr - 6 Unidades.,32.99 €/u,https://www.petsonic.com/13414-large_default/regional-treats-42-5-gr.jpg
 Orijen Treats Ranch Romney Lamb 56gr. - 1 Unidad.,6.28 €/u,https://www.petsonic.com/19382-large_default/orijen-treats-ranch-raised-lamb-56gr-para-perros.jpg
 Orijen Treats Ranch Romney Lamb 56gr. - 6 Unidades.,30.99 €/u,https://www.petsonic.com/19382-large_default/orijen-treats-ranch-raised-lamb-56gr-para-perros.jpg
 Affinity Advance Puppy Snack - 1 x 7 packs de 150 gr,11.99 €/u,https://www.petsonic.com/18854-large_default/affinity-advance-puppy-snack-para-perros.jpg
 Affinity Advance Dental Care Stick Mini - 28 Unidades,7.16 €/u,https://www.petsonic.com/18855-large_default/affinity-advance-dental-care-stick-mini-para-perros.jpg
 Affinity Advance Dental Care Stick Medium - 28 Unidades,8.96 €/u,https://www.petsonic.com/18858-large_default/affinity-advance-dental-care-stick-medium-para-perros.jpg
 Affinity Advance Hypoallergenic Snack - 1 x 7 packs de 150 gr,17.99 €/u,https://www.petsonic.com/18860-large_default/affinity-advance-hypoallergenic-snack-para-perros.jpg
 Affinity Advance Appetite Control Snack - 1 x 7 packs de 150 gr,11.50 €/u,https://www.petsonic.com/18862-large_default/affinity-advance-appetite-control-snack-para-perros.jpg
 Affinity Advance Articular Snack - 150 Gr.,2.69 €/u,https://www.petsonic.com/18859-large_default/affinity-advance-articular-snack-para-perros.jpg
 Affinity Advance Articular Snack - 1 x 14 packs de 155 gr,20.99 €/u,https://www.petsonic.com/18859-large_default/affinity-advance-articular-snack-para-perros.jpg
 Affinity Advance Sensitive Snack - 1 x 7 packs de 150 gr,14.99 €/u,https://www.petsonic.com/18863-large_default/sensitive-snack.jpg
 Affinity Advance +7 Años Snack - 1 x 7 packs de 150 gr,15.99 €/u,https://www.petsonic.com/18861-large_default/siete-anos-snack.jpg
 Bayer Limpiador Dental Masticable para Perros - 140 gr,6.49 €/u,https://www.petsonic.com/15895-large_default/bayer-limpiador-dental-masticable-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perro X-Small - 21 unidades,4.99 €/u,https://www.petsonic.com/15574-large_default/snack-dentalife-para-perro-x-small.jpg
 Purina Pro Plan Snack Dentalife para Perros Mini - 21 unidades,5.99 €/u,https://www.petsonic.com/11185-large_default/purina-pro-plan-snack-dentalife-mini-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perros Mini - 5 unidades x 115Grs,11.99 €/u,https://www.petsonic.com/11185-large_default/purina-pro-plan-snack-dentalife-mini-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perros Grandes - 5 Unidades x 142gr,9.30 €/u,https://www.petsonic.com/11188-large_default/purina-pro-plan-snack-dentalife-grandes-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perros Grandes - 5 Unidades x 426gr,21.10 €/u,https://www.petsonic.com/11188-large_default/purina-pro-plan-snack-dentalife-grandes-para-perros.jpg
 Pedigree Dentastix 5-10 Kg Sticks Dentales - 7 barritas,2.36 €/u,https://www.petsonic.com/10752-large_default/pedigree-dentastix-5-10-kg-sticks-dentales-para-perros.jpg
 Pedigree Dentastix 5-10 Kg Sticks Dentales - Caja 28 barritas(7x4),8.62 €/u,https://www.petsonic.com/10752-large_default/pedigree-dentastix-5-10-kg-sticks-dentales-para-perros.jpg
 Pedigree Dentastix 10-25Kg Sticks Dentales - 7 barritas,3.31 €/u,https://www.petsonic.com/10753-large_default/pedigree-dentastix-10-25kg-sticks-dentales-para-perros.jpg
 Pedigree Dentastix 10-25Kg Sticks Dentales - Caja 28 barritas(7x4),12.02 €/u,https://www.petsonic.com/10753-large_default/pedigree-dentastix-10-25kg-sticks-dentales-para-perros.jpg
 Pedigree Sticks Pedigree Dentastix +25 Kg - 7 Unidades.,4.03 €/u,https://www.petsonic.com/8480-large_default/pedigree-dentastix-25-kg-para-perros.jpg
 Pedigree Sticks Pedigree Dentastix +25 Kg - Caja 28 barritas(7x4),14.22 €/u,https://www.petsonic.com/8480-large_default/pedigree-dentastix-25-kg-para-perros.jpg
 greenies Petite - 10 Unidades (170 GR),6.24 €/u,https://www.petsonic.com/18832-large_default/greenies-petite-para-perros.jpg
 greenies Teenie - 1 Unidad (8 GR),0.69 €/u,https://www.petsonic.com/18835-large_default/greenies-teenie-para-perros.jpg
 greenies Teenie - 22 Unidades (170 GR),7.95 €/u,https://www.petsonic.com/18835-large_default/greenies-teenie-para-perros.jpg
 greenies Teenie - 43 Unidades (340 GR),11.63 €/u,https://www.petsonic.com/18835-large_default/greenies-teenie-para-perros.jpg
 greenies Teenie - 2x 43 Unidades (680 GR),19.26 €,https://www.petsonic.com/18835-large_default/greenies-teenie-para-perros.jpg
 greenies Teenie - 2+1 Unidades de 170gr (oferta),23.85 €/u,https://www.petsonic.com/18835-large_default/greenies-teenie-para-perros.jpg
 greenies Regular - 6 Unidades (170 GR),6.30 €/u,https://www.petsonic.com/18837-large_default/greenies-regular-para-perros.jpg
 greenies Regular - 12 Unidades (340 GR),11.63 €/u,https://www.petsonic.com/18837-large_default/greenies-regular-para-perros.jpg
 greenies Regular - 2x 12 Unidades (680 GR),19.26 €,https://www.petsonic.com/18837-large_default/greenies-regular-para-perros.jpg
 greenies Regular - 2+1 Unidades de 170gr (oferta),23.96 €/u,https://www.petsonic.com/18837-large_default/greenies-regular-para-perros.jpg
 greenies Large - 4 Unidades (170 GR),7.99 €/u,https://www.petsonic.com/14141-large_default/greenies-large-para-perros.jpg
 greenies Large - 2x 4 Unidades (340 GR),11.98 €,https://www.petsonic.com/14141-large_default/greenies-large-para-perros.jpg
 Iams Huesos Piel Pollo y Jamón para Perro - 7 Unidades.,4.49 €/u,https://www.petsonic.com/11528-large_default/iams-huesos-piel-pollo-y-jamon-para-perros.jpg
 Iams Hueso Piel Pollo y Ternera para Perro - S,3.49 €/u,https://www.petsonic.com/11547-large_default/iams-hueso-piel-pollo-y-ternera-para-perros.jpg
 Iams Hueso Piel Pollo y Ternera para Perro - M,3.65 €/u,https://www.petsonic.com/11547-large_default/iams-hueso-piel-pollo-y-ternera-para-perros.jpg
 Iams Hueso Piel Pollo y Ternera para Perro - L,3.99 €/u,https://www.petsonic.com/11547-large_default/iams-hueso-piel-pollo-y-ternera-para-perros.jpg
 Iams Hueso Piel Pollo y Jamón para Perro - L,3.49 €/u,https://www.petsonic.com/11531-large_default/iams-hueso-piel-pollo-y-jamon-para-perros.jpg
 Iams Sticks Pollo y Ternera para Perro - 3 Unidades.,3.99 €/u,https://www.petsonic.com/11532-large_default/iams-sticks-pollo-y-ternera-para-perros.jpg
 Iams Stick en Espiral Pollo y Jamón para Perro - 55 Gr.,3.99 €/u,https://www.petsonic.com/11534-large_default/iams-stick-en-espiral-pollo-y-jamon-para-perros.jpg
 Iams Stick en Espiral Pollo y Jamón para Perro - 190 gr,7.49 €/u,https://www.petsonic.com/11534-large_default/iams-stick-en-espiral-pollo-y-jamon-para-perros.jpg
 Vetnova Glyco-flex l Snacks para Perro - 120 Comprimidos,69.85 €/u,https://www.petsonic.com/11857-large_default/glyco-flex-l-snacks-para-perro.jpg
 Vetnova Glyco-flex ll Snacks para Perro - 60 Comprimidos,39.49 €/u,https://www.petsonic.com/11858-large_default/vetnova-glyco-flex-ll-snacks-para-perro.jpg
 Vetnova Glyco-flex ll Snacks para Perro - 120 Comprimidos,78.56 €/u,https://www.petsonic.com/11858-large_default/vetnova-glyco-flex-ll-snacks-para-perro.jpg
 Vetnova Glyco-flex ll Snacks para Gatos y Perros Pequeños - 60 Comprimidos,37.68 €/u,https://www.petsonic.com/11859-large_default/vetnova-glyco-flex-l-snacks-para-gatos-y-perros-pequenos.jpg
 Vetnova Glyco-flex III Snacks para Perro - 30 Comprimidos,35.47 €/u,https://www.petsonic.com/11863-large_default/vetnova-glyco-flex-lll-snacks-para-perro.jpg
 Vetnova Glyco-flex III Snacks para Perro - 60 Comprimidos,60.97 €/u,https://www.petsonic.com/11863-large_default/vetnova-glyco-flex-lll-snacks-para-perro.jpg
 Vetnova Glyco-flex III Snacks para Perro - 120 Comprimidos,103.15 €/u,https://www.petsonic.com/11863-large_default/vetnova-glyco-flex-lll-snacks-para-perro.jpg
 Vetnova Glyco-flex lll Snacks para Perro Mini - 60 Comprimidos,41.63 €/u,https://www.petsonic.com/11862-large_default/vetnova-glyco-flex-lll-snacks-para-perro-mini.jpg
 Vetnova Multiva Active para Perro - 45 Comprimidos,20.92 €/u,https://www.petsonic.com/11868-large_default/vetnova-multiva-active-para-perro.jpg
 Vetnova Multiva Calming para Gatos y Perros Pequeños - 21 Comprimidos,12.38 €/u,https://www.petsonic.com/11869-large_default/vetnoca-multiva-calming-para-gato-y-perros-pequenos.jpg
 Vetnova Multiva Calming para Perros Medianos y Grandes - 21 Comprimidos,20.92 €/u,https://www.petsonic.com/11870-large_default/vetnova-multiva-calming-para-perros-medianos-y-grandes.jpg
 Vetnova Multiva Motion para Perro - 60 Comprimidos,20.92 €/u,https://www.petsonic.com/11872-large_default/vetnova-multiva-motion-para-perro.jpg
 Vetnova Cutania Snacks para Perro - 60 Unidades.,38.46 €/u,https://www.petsonic.com/13252-large_default/vetnova-cutania-snacks-para-perros-gatos.jpg
 Vetnova Cutania Snacks para Perro Mini y Gato - 60 Comprimidos,20.99 €/u,https://www.petsonic.com/13253-large_default/cutania-snacks-para-perro-mini-gato.jpg
 Specific Snack Healthy Treats Mini para Perro - 1 unidad de 300gr,2.71 €/u,https://www.petsonic.com/14914-large_default/snack-healthy-treats-mini-para-perro.jpg
 Specific Snack Healthy Treats para Perro - 1 unidad de 300gr,2.85 €/u,https://www.petsonic.com/14915-large_default/snack-healthy-treats-para-perro.jpg
 Specific Snack Healthy Treats Hypoallergenic para Perro - 1 unidad de 300gr,3.38 €/u,https://www.petsonic.com/14916-large_default/snack-healthy-treats-hypoallergenic-para-perro.jpg
 virbac VeggieDent Fresh para Perro - XS,5.99 €/u,https://www.petsonic.com/17253-large_default/virbac-veggiedent-fresh-para-perro.jpg
 virbac VeggieDent Fresh para Perro - S,5.99 €/u,https://www.petsonic.com/17253-large_default/virbac-veggiedent-fresh-para-perro.jpg
 virbac VeggieDent Fresh para Perro - M,7.99 €/u,https://www.petsonic.com/17253-large_default/virbac-veggiedent-fresh-para-perro.jpg
 virbac VeggieDent Fresh para Perro - L,7.99 €/u,https://www.petsonic.com/17253-large_default/virbac-veggiedent-fresh-para-perro.jpg
 greenies Greenie Pack Original Teenie para Perro - 170 gr,7.59 €/u,https://www.petsonic.com/20299-large_default/greenie-pack-original-petite-para-perro.jpg
 greenies Greenie Pack Original Teenie para Perro - 340 Gr.,13.99 €/u,https://www.petsonic.com/20299-large_default/greenie-pack-original-petite-para-perro.jpg
 greenies Greenie Pack Original Teenie para Perro - 170 gr,7.59 €/u,https://www.petsonic.com/20299-large_default/greenie-pack-original-petite-para-perro.jpg
 greenies Greenie Pack Original Teenie para Perro - 340 Gr.,13.99 €/u,https://www.petsonic.com/20299-large_default/greenie-pack-original-petite-para-perro.jpg
 greenies Greenie Pack Original Medium para Perro - 170 gr,7.59 €/u,https://www.petsonic.com/20281-large_default/greenie-pack-original-medium-para-perro.jpg
 greenies Greenie Pack Original Medium para Perro - 340 Gr.,13.99 €/u,https://www.petsonic.com/20281-large_default/greenie-pack-original-medium-para-perro.jpg
 greenies Greenie Pack Original Large para Perro - 170 gr,7.99 €/u,https://www.petsonic.com/20273-large_default/greenie-pack-original-large-para-perro.jpg
 greenies Greenie Pack Teenie Grain Free para Perro - 170 gr,7.99 €/u,https://www.petsonic.com/20265-large_default/greenie-pack-teenie-grain-free-para-perro.jpg
 greenies Greenie Pack Petite Grain Free para Perro - 170 gr,8.95 €/u,https://www.petsonic.com/20309-large_default/greenie-pack-petite-grain-free-para-perro.jpg
 greenies Greenie Pack Medium Grain Free para Perro - 170 gr,8.95 €/u,https://www.petsonic.com/20257-large_default/greenie-pack-medium-grain-free-para-perro.jpg
 greenies Greenie Pack Large Grain Free para Perro - 170 gr,8.95 €/u,https://www.petsonic.com/20249-large_default/greenie-pack-large-grain-free-para-perro.jpg
